"","prod","title","author","date","review_format","stars","comments","n_helpful"
"43","Venom","""We're gonna eat your brain!"" - Venom","Matt Blank","January 2, 2019","Format: DVDVerified Purchase",4,"Really good Marvel action/comic movie.  I own all of the early Venom Lethal Protector comics from '93.  This movie is a accurate yet modern interpretation of the very early events of the Lethal Protector series.  Venom is true to form.  Hardy plays a good Eddie Brock, kind of gritty with a dark sense of humor, again, similar to the comic books.  Storyline left the door open for more Venom movies.  Defenately recommended for all Venom fans and Marvel fans.  Looking forward to Gambit next.  Can't wait!",2
"44","Venom","Extremely Underrated Fun","Kindle Customer","January 11, 2019","Format: Prime VideoVerified Purchase",5,"Like many other fans, I simply cannot understand why critics ragged so hard on this movie.  It's nonstop fun the entire time.  It's funny.  It's dark.  Tom Hardy is absolutely perfect as my favorite loser in the galaxy (and apparently Venom's favorite loser as well).  It's the type of movie you can watch a million times and never get sick of it.  My dad even loved it.  Though, he brilliantly pointed out that Venom clearly has a crush on Eddie and absolutely kissed him, which made this even better.  10/10 would recommend.",2
"45","Venom","I loved this DVD","EDMark","January 4, 2019","Format: DVDVerified Purchase",5,"Tom Hardy was just great in the role and the movie was a bit slow for the first hour but it explained how he got to the fix he ended up in and the last hour & few minutes were the most fun, exciting and gross at time film I have seen in a long time.  It  has the best & wonderful ending of any horror/monster film I have ever seen, you laughed, felt good and love the way it ended.  I say buy it and watch it you will love it.",2
"46","Venom","It's nothing special","LaJay","December 23, 2018","Verified Purchase",2,"There's a lot of debate about the origin story this movie was adapted from. Personally, I remember Venom not from the Lethal Protector storyline, so I can relate to people who thought it out of place to see Venom with no relation to Spiderman. Even ignoring that, it was a pretty poorly constructed film.It should have been R-rated. Yep, it really should have been. Venom comics (and a lot of comics, believe it or not) contain a fair amount of blood and violence. Venom is a dark, horrifying character, and the PG-13 rating -- along with the nature of the story and overall writing -- turned him into something about as scary as Smaug from The Hobbit. Like, maybe scary to a 7 year old.Venom should have been an uncomfortable, visceral experience; taunting us to eventually cheer for a murderous alien psychopath -- along with the slimy, self-serving human being he merges with -- who happens to be slightly less murderous than his alien comrades.Also, the CGI and actually the basic design of Venom was pretty bad. It looked more like half-assed claymation than anything else. Also, it reeks of standalone, setting it apart from one of the factors that have made the MCU and the entirety of the comic book universe so successful: crossovers! It's like the creators of this film learned nothing from the mistakes of the early 2000s comic adaptations.Sure, I guess it's ""fun,"" and some people are apologetically calling it ""average."" I just call it a waste of time.",NA
"47","Venom","Thirty minutes wasted","David L Hertzberg","December 24, 2018","Verified Purchase",1,"I barley tolerated the first thirty minutes. Does this movie have any redeeming qualities? I'd rather not know. I wish I hadn't wasted my money.",4
"48","Venom","Ouch.","Micah","October 27, 2018","Format: DVD",2,"It's not as bad as an MCU film, but it looks like Sony intends to head in that direction.This movie feels generic from beginning to end despite that it's centered around some of my favorite comic book characters. It takes SOME ideas from the comics and tries to iterate them somewhat seriously (unlike disneymarvel), but it still likes to throw in some ""haha, it's awkward and/or this really cool character is a failure right now"" jokes, and it makes me sick.As for its regard to the source material, they completely miss the mark with Eddie. They didn't even TRY. This is the first time anyone has tried to make Eddie a complete wuss rather than a sleazy guy with decent goals. He also doesn't have anyone who so personally ruins his life in the film, so the suit has no actual reason to cling to Eddie, let alone call him a good host. There are no rules for what qualifies him as a good host. Symbiotes don't need to feed on anger or hatred, I guess. Not only does this ruin the logic of the movie and spit on the comics (and the intelligence of the audience, while we're at it), but it also completely nullifies the line, ""we are Venom.""Even throughout the film, anyone who says the name ""Venom"" is not referring to Eddie and the symbiote. They're referring specifically to the symbiote. Spider-Man in the suit isn't Venom. Mac Gargon in the suit isn't Venom. Way to absolutely destroy the best part about the character. For that matter, there's even the line ""I am Venom"" in the movie!Riot was poorly executed as well. He's never been a team leader (unless there's a comic about that I'm not aware of; I don't keep up with him in particular). However, Riot does not have a pronounced snout like this film portrays. To make it worse, no Klyntar has ever clung to Carlton despite his complete fascination with them. To make it WORSE, he's played by a middle-eastern youth. Don't get me wrong, I don't mind the inclusion of several races and all, but why don't companies make new characters and stories to do it with? That's like making a a new Sonic the Hedgehog game, but Sonic's green and Tails is purple. The goal of cinematic adaptation is to do just that: adapt the characters and concepts to cinema.One thing the film sorta gets right is that the Venom Klyntar was an outcast from his race, but the movie doesn't go anywhere with it, and it manages to screw up details. Instead of explaining that he's actually deemed insane because he wanted to assist hosts rather than consume them, ""I'm kind of a loser."" Really? That's like making Peter Parker wear the mask for kicks instead of protecting people he knows.Lastly, I must say it's an odd choice to have Woody Harrelson play Cletus Kassady. It's not really BAD, but it's about as fitting for the role as Tom Hardy for Eddie Brock.The only REALLY FUN parts of this movie revolve pretty much entirely around Venom himself. It's fun to watch the unique changes in his maneuvers using the wet and sticky physics or pouncing around like an angry, wild, reckless Spider-Man. That's what Venom really should be. Come to think of it, Sony has a bit of a history with getting the action scenes right. They actually make use of a character's traits and allow the character to think based on those traits, and while some other companies do it from time to time, Sony is almost always consistent with it.Eminem tried to destroy the movie, but frankly, I don't think it needed his help.All in all, this movie left me very confused. Riot, Carlton, Anne, and a handful of other concepts in this are all oddly aware of what the comics are like, but the story it tells is detached and not as engaging as it could have been. It feels like a small struggle (but not small enough to be personal, like Venom's grudge with Spider-Man seen anywhere except in Venom's own movie), and you get the happy ending you expected. Worth watching? Ehhhhhh. If you can appreciate some awesome physics being applied to an awesome design in the wrong story, then yeah, it's worth watching. I can't say enough that the visuals and sounds in this movie are SO MUCH FUN, but they deserve more respect and better writing.",21
"49","Venom","i had a few problems ...but overall totally enjoyed it.","Russell S","January 13, 2019","Format: Blu-rayVerified Purchase",5,"I have been reading comics for a very long time. Venom is one that I have been in on since its inception. There are differences in the movie and the comic and I was okay with them. I enjoyed Tom Hardy as Eddie Brock/Venom. There was fun and there was jokes and there were instances when things were just outright fun. The only thing I may have a problem with is the next one....Woody Harrelson???? Carnage?????? Anyway Riz Ahmed as the ""bad guy"" is great, loved him, I even loved Michelle Williams as the ex. The entire cast falls under the category of perfect casting.",1
"50","Venom","New Venom? Well, they updated Spiderman so...","Terrell Griffin","February 26, 2019","Format: Prime VideoVerified Purchase",4,"Like every young man or maybe most I dreamed of superpowers and abilities and often wore a towel around my neck and pretended I could fly. I would daydream while thumbing through my comic books and would often miss certain dialogues and conversations as I was transported into the comic and part of the action.Venom took me back to my childhood although like most movies try to modernize and alter the story for commercial and audience familiarity. As the Venom story was being introduced I was starting to discover video games and didn't follow the whole symbiote storyline. Fast forward to today and I will admit that while some of the storyline is entertaining and looks great visually it is not the story that I remember (insert wiper snapper comment here). Still despite this fact the movie still impressed me.",NA
"51","Venom","Not good, but it has it's moments","Tyler Baker","February 7, 2019","Verified Purchase",2,"The story here and the writing is horrible.  They spend SO LONG setting up the rules of Venom only to spend the last 40 minutes ignoring them to service the messy plot.  I think the first 20 minutes is a waste of time and only after Tom Hardy gets Venom does he get actual acting work to do (which he is great at as always), but everything aside from the special effects and Hardy were troublesome.  In an age where Avengers Infinity War came out months before this as the high mark of comicbook movies, this was a huge step BACK to the time when Daredevil and Elektra were the big movie flops.  Like they learned nothing from Deadpool or Thor Ragnarok.  Riz Ahmed was decent as the villian, he had this slimmy way about him, but there wasn't enough for him to shine.  All in all, the best scene is the one after the credits and that set up for Venom 2 is the only real reason to watch this.  Still, I bought it because of the 4k value of the cgi.  I bought it, but you should not.",NA
"52","Venom","melange of hifi fx and off key writing","w. mycroft","December 28, 2018","Verified Purchase",3,"and Nineteen Minutes of credits?  hardy is directed into the singsong persona of an investigative journalist (possibly the only one left, in or out of comics), who has been modified from the slightly grizzled, coffee fueled hero to an infantile, baggy jeans idealist who wrecks both his career and his marriage within 3 scenes (or so; and for real, i wouldn't approach his character without a hazmat suit on).  as for venom, his hep, bellringer dialogue is as flat as a snake hit by a truck in mid writhe.",1
"53","Venom","Wonderfully Surprised","KvotheYSL21","January 7, 2019","Verified Purchase",5,"I saw this in the theatre and was absolutely excited and nervous about it's production.  I am pleased to say that when the credits rolled I was extremely pleased and thrilled.  This is a FUN movie, a nice story, entertaining, and a departure from the Marvel branded movies that have come before it.I appreciate that they took some liberties with the story to help Venom become its own character in a space not currently occupied with Spider-man, to be understood.  Although the drama between Mary Jane, Spider-Man, and Venom will be missed, the rest of the story was truly wonderfully done.Also, Tom Hardy.  I hope that this saga continues, I hope that the story line and budget can improve, and I hope that Tom continues to take this role seriously and with pride!",1
"54","Venom","Great extras on the Bluray","Jmaynard","February 8, 2019","Format: Blu-rayVerified Purchase",5,"I saw Venom in theatres and enjoyed it enough to buy the Bluray. Sure, the plot has some holes and the villain is the tried and true mirror, but the film was fun entertainment.  I think Tom Hardy is fantastic, and his relationship/conversations with the symbiote are the highlight of the film and provide most of the humor. That scene where he's waiting for the elevator...The bluray has some fantastic behind the scenes extras, in particular the making of featurettes.  Seeing the scenes before and after the SFX, learning how they handled Venom's voice, and the motorcycle sequences are all explored and well worth watching.A fun film, and an excellent bluray release. I hope they do a sequel.",NA
"55","Venom","If You Were Expecting Better, You Weren't Paying Attention","N / A","March 1, 2019","Format: Blu-rayVerified Purchase",3,"An origin story for an iconic character such as Venom easily aroused major interest in the comic book adaptation furor of the modern age. However, that furor should've dissolved by the announcement of its creative team rather than a trailer or PG-13 rating. The director & writers of Venom are responsible for Gangster Squad, The 5th Wave, The Amazing Spider-Man 2, The Dark Tower and Fifty Shades of Grey. If you think that combination would produce another The Dark Knight (2008), The Avengers (2012) or Logan (2017), you were self-deluded (or not paying attention).Venom should've been an unmitigated disaster. However, if one is able to discard all expectation or notion of what a Venom adaptation should be, you might be able to get sucked into the entertainingly vacuous spectacle of it all, which was replete with humor and unapologetic bombast that even at its height feels more measured and considered than the third act of any recent D.C. Extended Universe film where everything descends into people throwing large objects at each other.Venom is not a great film, but its also quite harmless. It sought to be entertaining rather than thoughtful, and achieved that very result. It may be a disappointment to fans wanting a faithful adaptation but as I said before, that expectation should've been dropped upon learning who the director and screenwriters were.",NA
"56","Venom","Not worth 20, maybe 5","M. E. Guerrero","December 28, 2018","Format: Prime VideoVerified Purchase",1,"Let me break it down, and I will preface this by saying I appreciate the effort...1. Tom Hardy : Had the role down, the character, I could tell, but the performance wasn't there,The character didn't grow and wasn't presented thoroughly and it showed through the directing. At some point he had the character but it felt like he didn't let character free it was in his head. Venom has a legacy. Sad tho, I really wanted to see him rock it, he was cast well tho.2. Riz Ahmed- Good character, but too much talking, not enough expressive through acting. Almost had it  , but many scenes weren't timed correctly and it appeared not in sync ( between the story line and the actual camera time)..But I did like him as the character, but he needed to be darker(depth).3. Michelle Williams - Good character, good lines, but stood out because of gaps with other characters delivery.4.Venom - He is Venom, outer -space, symbiote, but portrayed as computer generated and voice fx , not modern, no character, all fx.5. Setting - SF - You choose a setting, but don't really use it, the setting was used as if it was a fly over town. Really missed an opportunity to use the city to its potential.I am not picking on anyone, I just noticed these things, and want to point them out. Nothing against anyone.I hope this can be redeemed somehow.I did buy the film, so I did have faith after hearing about bad reviews.but at least I was able to write this review and contribute somehow.",NA
"57","Venom","WORST MARVEL MOVIE EVER.  HORRIBLE.","Troy","December 11, 2018","Verified Purchase",1,"WORST MARVEL MOVIE EVER.  HORRIBLE.",4
"58","Venom","Toxic","ManiacalSpark","January 19, 2019","Verified Purchase",1,"Ultimately Venom is just a disappointment. Tom Hardy can't carry the film as much as it tries to make him, and it's very clear that they got halfway through the movie before realizing they needed an antagonist. A interesting first half of the movie suddenly rushes to a close and forces a terrible bad guy in your face for one of the WORST movie boss fights I have ever seen.Like I'll be honest, I was expecting a bad movie from this, but one of those 'so bad it's good' bad movies. Instead we just get this disappointing mess of a film that rushes to an unsatisfying conclusion.",NA
"59","Venom","Bad Acting and a Really Horrible Wig","RM","January 30, 2019","Format: Blu-rayVerified Purchase",2,"I love - LOVE - comic book movies. Such an awesome escape. I was so looking forward to this movie, having missed it in theaters. I wish I would have rented it. Tom Hardy, who is awesome in other movies, is either mis-directed or was really distracted and his love interest in wearing a wig that is beyond-distracting. I actually googled ""Venom Wig"", go ahead and see for yourself, I'll wait. It's not just bad, it's reeeeeeeeally awful. What the heck happened. So disappointed. If you need to watch it, I get it - I'm with you! - but please rent it and save yourself a few bucks.",NA
"60","Venom","Do not pay for this movie.","H. Thompson","January 1, 2019","Format: Prime VideoVerified Purchase",1,"The script is terrible, the story is disjointed and weird, and even Tom Hardy can't bring any life to it.",3
"61","Venom","Horrible acting and plot, couldn't make it through the whole way","LoveBoots521","December 22, 2018","Format: Prime VideoVerified Purchase",1,"Don't waste your money. I typically like superhero movies but this was just awful.",3
"62","Venom","Tedious","singer","January 13, 2019","Format: Prime VideoVerified Purchase",1,"20min into the film and I was bored to tears. It’s predictable full of comic film tropes. The characters are hollow even the main played by Williams and Hardy. It’s like a caricature of a comic film. Then there’s the politics. It’s laden with ideological left wing cliches which weighs down the already empty script. It’s two hours of yawn!",1
"63","Venom","Had such potential","jt22","February 9, 2019","Format: Prime VideoVerified Purchase",3,"Could have been soo good if the studio wouldn’t get in the way . The casting was great , graphics were awsome, characters (for the most part ) were fantastic together, but in the end the story sucked and carnage should have been reviled at the end as the big bad not some written in bad guy who no one cares about. If you cut out all the content of useless plot and love story and just focused on eddie and venom this movie would have been awsome.Let the writers of dead pool take a crack at playing with Tom Hardys Eddie and Venom .Tom Hardy still rocked as both Eddie and Venom dispite the script sucking",NA
"64","Venom","Better than I thought","AR Diamond","February 18, 2019","Format: Blu-rayVerified Purchase",5,"Not for the younger children with this much violence unless they watch Alien on a regular basis which I am generally not a fan of, but the amount of comedy in this was enough to get me past the gory scenes. Some how I think I missed this character in the comics growing up or perhaps he came after I stopped reading them, but those that did in the house liked the movie and the comedic side that you might not have expected from that cover. Plus it had Stan Lee's guest appearance which is always fun to watch for in the movie.",NA
"65","Venom","Good flick.  Can’t go wrong when Hardy is involved.","Asage","February 25, 2019","Verified Purchase",5,"Being a Tom Hardy fan, I got what I wanted; good acting, solid performance.  The effects are good, the story moves fast for sake of storyline vs character and backstory building, the voiceover of venom is a perfect fit, the comedy is there but not overshadowing the severity of the story.  Overall, I enjoyed it and thought it was fun and solid.  Could have been longer but I get it, lots of money and deadlines, slow movie-goers on average and must appeal to the masses.....still, I would have preferred another 20-30 minutes.",NA
"66","Venom","Zero expectations...but really like it","FBW","February 19, 2019","Verified Purchase",5,"I'll admit, this was a Sunday night movie choice my buddy made that I was just  ""mehh, okay"" about at first. Just like all of you, I'm a big comic book, sci-fi, fantasy nerd and I have my own issues with the non-canon movie/TV story ""re-telling's"" but, I actually enjoyed Venom from start to finish. The acting and story were good.  The action and effects were spot on and I thought it worked well with this telling.  Again, went it with zero expectations but ended up enjoying the flick.",NA
"67","Venom","Formulaic, terrible","Walt","January 18, 2019","Format: Prime VideoVerified Purchase",2,"I loved Tom Hardy in ""The Peaky Blinders"" and ""Inception.""  I understand he needs to pay bills but he should've skipped this role.  The writing was terrible and formulaic.  The characters were very flat with no arc or development so we don't care about their motivations.  I started fast-forwarding about 15 minutes into the movie and couldn't finish it.  The trailer is much better than the movie.",1
"68","Venom","Apply reviewed as “stinker” <U+0001F44E><U+0001F3FB>","Amazon Customer","February 24, 2019","Format: Prime VideoVerified Purchase",1,"I read the reviews of this movie & cannot fathom them.  For the Marvel guys that love it - I’ve loved Marvel since the 60’s collected the comix huge fan of the Marvel universe.  Tom Hardy - love him.  But - This movie is Gawd-awful.  I mean - not just bad, but unforgivably bad.  Hokey. Stupid. Sloppy. Trite. Hardy completely miscast. I can’t say don’t waste your $ - because many reviewers like it.  Maybe you will too.  I’ll never b tempted to watch it again.  SO BAD<U+0001F616><U+0001F616><U+0001F616><U+0001F616>",NA
"69","Venom","Are you kidding me?","poony2","January 13, 2019","Format: Prime VideoVerified Purchase",1,"I'm amazed anyone thought this was a good movie. It had lots of potential but ended up just insulting what little intelligence I have. Special effects were cool but the story was lame. I want a story with substance but those are usually true and retold. It seems to me that the creativity of Hollywood is diminishing. Of course I didn't like Castaway either and lots of people liked it. Who talks to a soccer ball for years when marooned on a deserted island? I guess actually talking to God would seem ludicrous to anyone who gave that movie even 3 stars.",1
"70","Venom","Good movie","Kurt","February 21, 2019","Format: Prime VideoVerified Purchase",4,"This movie was packed full of action. However, it was really mostly just that - action, action, action. There was definitely a story, but it wasn't really the driving force of the movie. Also, there was a lot of unrealistic ""eating people"" that didn't seem plausible at all. Not to mention, how some people reacted to such situations was completely unrealistic. This movie definitely could have been a lot better, but as an action movie it works.",NA
"71","Venom","90% of a great film","Johnny in Texas","January 12, 2019","Format: Prime VideoVerified Purchase",4,"Tom Hardy delivers in this film...  good plot overall... however...  it completely deviates from the original marvel story line.  Personally I was OK with the new adaptation, but would have enjoyed a little more of venom being venom.  Hopefully they'll adapt a follow up film.",1
"72","Venom","Mediocre at best.  Warning - spoiler alert!","Infinity8","December 23, 2018","Format: Prime VideoVerified Purchase",3,"1. Love Tom Hardy - do not love his American accent and I got the impression he didn't like it either.2. Tom Hardy cannot portray loser, kind of guy, especially while sporting serious guns. Giving him clothes and a scruffy beard, did not help.3. Transition of evil creature from evil creature to sort of good creature did not play well at all. There was no lead in no explanation nothing. Which made the movie from that point on pretty foolish.",NA
"73","Venom","It was a kick a $$ movie !","Shawna","December 18, 2018","Format: Prime VideoVerified Purchase",5,"I have no idea why this movie doesn't have a 5 stars? So many critic's <U+0001F612> most of them into the comics and believe nothing can go off script OR the opposite and think its to predictable . But for a marvel movie this is one of my favorites . It was action packed , funny .",1
"74","Venom","Not Worth Renting <U+0001F44E>","Sean","December 18, 2018","Format: Prime VideoVerified Purchase",2,"Ugh <U+0001F612> when did Venom become a good guy? Saves the earth? Big task. Tom Hardy seemed to play a dork. It's slow then lots of fast action that didn't look right. The ending ... just slashes the shuttle and bad guy blows up but was able to survive everything else. Having a big star and an Eminem song doesn't make it a good movie. The whole thing was a mess. They couldn't put it together right. Certain scenes were entertaining hence 2 stars.",NA
"75","Venom","The critics need an enema","Curtis","December 16, 2018","Format: Prime VideoVerified Purchase",4,"This comment is coming from a guy who's a Dredd 2012 fan (which, I think got a poor reception as well), i think Venom might be along the same vein, maybe a bit less charming - as far as cinematography goes. I simply thought the film was entertaining.This isn't meant to be a goody super hero film. It isn't meant to be some cinema masterpiece. It's simply pulp... and that's okay.Hope this gives some perspective.",1
"76","Venom","Don’t buy in 4K","michael","December 23, 2018","Verified Purchase",1,"Movie is great but the dvd is messed up, I have a 1/2” white bar at the bottom of my tv, no other dvds do it, it’s really annoying. I looked close at it, it’s the menu wallpaper the movie over laps. When making a dvd, take your job serious or go back to flipping burgers.",2
"77","Venom","Venom Gets Neutered","Gene Bates","January 31, 2019","Format: Prime VideoVerified Purchase",4,"Not as good as you hoped and not as bad as its made out to be. The film has good effects, nice action scenes and a dose of comedic relief. Some of the lines are stupid and worsened upon delivery. The film wraps up rather quickly; which seems to be a result of reaching their budget cap more than anything. I've watched it twice and overall the film feels like an early effort in the superhero genre.",NA
"78","Venom","Just the right ballance between action and comedy","Crunchy moma with 3 boys","January 8, 2019","Format: Prime VideoVerified Purchase",5,"Ive hered that people disliked what they had venom saying inside of his head. But think about it hes an alien and it would be telepathic but also translated so it makes sense to me that he wouldn't always make 100% human sense. hes going to think completely different then  human.  I loved everything about it. Good writing tied most thing together. a few loose ends but all and all well thought out.",NA
"79","Venom","Humorous but dark, definitely PG 13","History Buff","January 4, 2019","Format: Blu-rayVerified Purchase",5,"Great fun. The alien arguing with his human host kept me laughing the entire movie. A little darker than most Marvel movies and has a slightly heated love scene that isn't suitable for  kids under 13. Stan Lee makes his usual cameo. Wonder if they will CGI him in future movies since sadly he has passed. The movie plot drifts from the classic VENOM storyline as he is not the dark alternate Spider-Man suit gone live but the storyline is a nice reboot.",NA
"80","Venom","Flawed, but entertaining.","Eric L. Gibson","February 10, 2019","Verified Purchase",3,"I loved how Venom was portrayed in this. He was big, scary, and powerful. He even paired well with Tom Hardy, in my opinion.That being said, the construction of the story was totally Amateur Hour. I understand that Marvel movies are formulaic from the get-go, but this story was WAY too cookie-cutter to ignore. They certainly could've done better in building a more interesting plot.Overall, though, the movie was truly fun. Fanboys will wail in agony because it wasn't perfect, but I wasn't expecting The Shawshank Redemption going into it.It was worth the price of admission.",NA
"81","Venom","Tom Hardy does it again!","Hannah","January 20, 2019","Verified Purchase",5,"What can I say? A lot of people don’t like this movie, but it was extremely enjoyable. Tom is funny as Eddie Brock AND as Venom, he has some really great one liners; the dialogue between the two in the car chase scene and the apartment encapsulates Tom Hardy’s talent as an actor. I would group this in with Deadpool, but it’s much cleaner! The style is much of the same, it’s defintely more for adults, as I think a lot of the darkness and humor would be lost on children. Love this film, ignore your friends and give it a shot.",NA
"82","Venom","Fun, classic Marvel movie","O. Sanders","December 24, 2018","Format: Prime VideoVerified Purchase",5,"Parent perspective here:Watched this with my 8yo son who has been begging me to view it. I was a bit hesitant. Aside from the occasional s-word and 1, maybe 2 f-bombs, the language was relatively mild and better than I expected.",1
"83","Venom","This is not a thinky movie. This is a Good, movie. Ignore the critics.","Vaguely Confused","December 22, 2018","Format: Prime VideoVerified Purchase",5,"Entertaining, funny, buddy cop/Super hero/Antihero/romcom/action/horror/scifi kind of movie.",2
"84","Venom","Overall a pretty good movie","Kathy Kohout","January 7, 2019","Verified Purchase",4,"If you don't expect this to be in the same class of movie as The Godfather, you won't be disappointed.  There are quite a few aspects of the movie I really enjoyed.  I liked the relationship between the alien and Eddie.  I liked how the movie was a different spin on the 100 lb weakling wins in the end.  It was a good movie.  Not great, but worth watching.",NA
"85","Venom","terrible","Mitchell Strasner","December 12, 2018","Format: Prime VideoVerified Purchase",2,"What a colossally stupid movie. I am fan of marvel movies, this ranks at near the bottom. i wanted to like it, Tom Hardy is a great acter and I do enjoy his roles. This was dumb. want my money back dumb.",1
"86","Venom","Tom Hardy is oscar worthy","John Black","January 5, 2019","Format: Prime VideoVerified Purchase",5,"But because its a film like venom he will not get one. The Movie on its own is mediocre, but fun. What makes it shine is Tom Hardy's delivery and character portrayal. From when he thinks he is going insane, to when he accepts the symbiote, its all powerful acting and line delivery. In a Marvel universe believable characters are hard to pull off, but this hits the mark.",NA
"87","Venom","It was fun.","Ryan J. Brown","December 22, 2018","Format: Prime VideoVerified Purchase",4,"The movie was fun. It was written for a younger audience. Yes there's violence and that kind of stuff, but nothing is complex, everything is very simple in the story. Kids would get a kick out of it.",1
"88","Venom","Lacking Something","Robert Rootes","January 9, 2019","Format: Prime VideoVerified Purchase",3,"Not sure what it was. I think I expected Tom Hardy to start driving a big truck. But I seriously believe this film lacked the addition to make it R rated. Had they left the film alone, the pay-off with the whole Venom character would have been a lot more fun. I see they're making a sequel so apparently PG-13 land is fine for the franchise.",NA
"89","Venom","Terrible","Thomas L Moore","December 23, 2018","Format: Prime VideoVerified Purchase",1,"I hope Tom Hardy can live this down. Terrible, terrible and more terrible!",2
"90","Venom","fun romp","Anthony Evans","January 13, 2019","Format: Prime VideoVerified Purchase",5,"I know the critics hated this, but I loved it. Watching him eat the bad guys, the constant dialog between Venom and what's-his-name, and my favorite, the attempt to meditate to a recording of Ekhart Tolle (oh, the irony of how Venom resolves the futility of trying to pursue Inner Peace while living in the city), were all hysterical.",NA
"91","Venom","Very disappointing for a Marvel movie.","Deegs4444","January 2, 2019","Format: Prime VideoVerified Purchase",1,"There was no chemistry with the Marvel character (venom).  The inner voice overs were childish.  Not one of Hardy's better performances....and not sure if it was his fault or just a terrible script.",2
"92","Venom","So, there is now a movie about a Villain winning. This is not an anti hero. Plot loose and lacking.","joshua erickson","December 17, 2018","Format: Prime VideoVerified Purchase",2,"Venom is a Villain, he wishes to kill and to eat life on Earth. The fact that he fights someone to not destroy Earth, because he likes his new home is not an Antihero, it is a Villain fighting for turf. The actor is okay, the story feels like the creators read a cliff notes of the cliff notes of Venom and then had an awesome idea to remarket it as a FANTASTIC idea. 2/10 would return again. Don't waste the moneys.",1
"93","Venom","Best movie I've seen in quite awhile!","Cheryl3D","February 9, 2019","Format: Prime VideoVerified Purchase",5,"Never heard of this movie until my daughter asked to buy it. Watched it on a whim, and was pleasantly surprised! It starts off... rather slow (especially since I didn't even know what the movie was about...) then... wham! The most entertaining, fun, funny, action packed and not too violent movie!! I loved it!!",NA
"94","Venom","alien with a heart of gold... likes to eat the bad guys...","br. mak","January 4, 2019","Format: Prime VideoVerified Purchase",4,"alien with a heart of gold... likes to eat the bad guys...also likes to help his host... keep that girl he is in love with in between snacks at the local vigilante crime scenes...""you are a bad man... I am going to eat your brain now..."" chomp chomp... belch...what a anti-hero vigilante.",NA
"95","Venom","This movie was so legit!","Sandra Margarita Damiron","January 10, 2019","Format: Prime VideoVerified Purchase",5,"Let me start out by saying it’s a school night and i just want to relax.... nothing fancy just throw a movie on the kids and i can enjoy together..... well let me tell you! This Thursday night turned into in all out movie experience. The kids loved this movie 15 mins into the movie the kids turned off all the lights we can cocolate covered bananas and all three of us curled under the blanket excited to watch this movie. It was such a nice surprise bc we weren’t expecting this. The movie was hilarious and not overly serious at all! The fact that venom and Eddie argue is hilarious. It’s like an action movie with a hint of romcom in it. I can’t wait for the second one to come out.",NA
"96","Venom","Funnier than I thought.","Tommy Jordan","January 15, 2019","Format: Prime VideoVerified Purchase",5,"I rented this because I was bored and needed a move.  I don't follow the comics that closely, so I couldn't say whether it's true to character or not. From what I know it's like the anti-spider-man, but the movie was really enjoyable. It's funny, action-packed, full of wit, and FYI... not for young kids!",NA
"97","Venom","Tom Hardy Rocked Venom","Lindsay","January 28, 2019","Format: Prime VideoVerified Purchase",5,"This movie was a little gory but was full of lots of action.  I wouldn't quite say it's a kids or family friendly movie but it's still a good date movie.  Tom Hardy did an awesome job as Venom and I really hope to see him continue the sequel as Venom...Oh there will be a sequel (not going to spoil it ;))",NA
"98","Venom","Believe the Critics...","Tim Schrieber","December 24, 2018","Format: Prime VideoVerified Purchase",1,"Based off of critic and peer review, I went into this film knowing it would not be good, however I love the character Venom and I had to see it for myself. It was way worse than I expected. Whatever they did, they did it wrong.",2
"99","Venom","The parasite venom is a fun character","Sophi","December 23, 2018","Format: Prime VideoVerified Purchase",3,"Haven't read the comics so I don't have the back story, but overall Venom turned out to be an almost cute character ( ignoring all the bodies).  Fun action but the story itself is simple and doesn't require and one and half  hours run through.  Made a lot of money.  So I guess there will be a second one.",NA
"100","Venom","I loved this movie.","Sergio Vancari","December 21, 2018","Format: Blu-rayVerified Purchase",5,"Since I was a kid I have known of Venom and I must say that is was worth the wait this movie was amazing and the previews did not at all reveal anything and I cannot wait for my stereo system to be working again so that I can again enjoy this movie the way it was meant to be in High Def surround sound.",NA
"101","Venom","Not enough Venom","Calileah","February 6, 2019","Format: Prime VideoVerified Purchase",1,"Venom is only shown 3 or 4 times, and in short glimpses, which is odd since he's the main character in the movie. Maybe they had to cheap out on the CGI? Tom Hardy also apparently can't handle a Californian accent. It's a confusing ride of ""is Tom Hardy from New York, or what?"" mixed with ""but where's Venom?"".",NA
"102","Venom","Not a good story line!","Caleb","January 3, 2019","Verified Purchase",2,"I thought the story was lacking,  I mean the alien all of a sudden turns good because of the guy...  I didn't think the guy was a good guy at all ha!",1
"103","Venom","Raally Captivates Amazing!","Galven","December 15, 2018","Format: Prime VideoVerified Purchase",5,"Venom was quirky intuitive downright lovable. I am amazed at the quality of this film. Sony really out did themselves and so did the actors and film directors. Loved this film from beginning to end. I really hope there will be a 2nd one and possibly a third. but no more than that. Also one note that intrigues me is it sort of dances along with toby McGuire's Spiderman trilogy.",1
"104","Venom","Blah","N","December 23, 2018","Format: Prime VideoVerified Purchase",1,"Terrible....",2
